symbol,name,sector,date,time,timestamp,open,high,low,close,volume
INFY,Infosys,Information Technology,2026-09-04,09:30,2026-09-04 09:30:00,1642.5,1646.37,1631.08,1634.93,974652
INFY,Infosys,Information Technology,2026-09-04,10:00,2026-09-04 10:00:00,1634.93,1641.52,1631.02,1637.6,758711
INFY,Infosys,Information Technology,2026-09-04,10:30,2026-09-04 10:30:00,1637.6,1652.74,1633.31,1648.43,906623
INFY,Infosys,Information Technology,2026-09-04,11:00,2026-09-04 11:00:00,1648.43,1659.08,1647.66,1658.3,923875
INFY,Infosys,Information Technology,2026-09-04,11:30,2026-09-04 11:30:00,1658.3,1659.79,1651.61,1653.09,868217
INFY,Infosys,Information Technology,2026-09-04,12:00,2026-09-04 12:00:00,1653.09,1654.39,1643.44,1644.73,508553
INFY,Infosys,Information Technology,2026-09-04,12:30,2026-09-04 12:30:00,1644.73,1652.19,1644.51,1651.96,460542
INFY,Infosys,Information Technology,2026-09-04,13:00,2026-09-04 13:00:00,1651.96,1653.92,1650.88,1652.84,692282
INFY,Infosys,Information Technology,2026-09-04,13:30,2026-09-04 13:30:00,1652.84,1653.76,1651.18,1652.1,478811
INFY,Infosys,Information Technology,2026-09-04,14:00,2026-09-04 14:00:00,1652.1,1653.13,1651.82,1652.85,550840
INFY,Infosys,Information Technology,2026-09-04,14:30,2026-09-04 14:30:00,1652.85,1672.65,1638.28,1658.03,403428
INFY,Infosys,Information Technology,2026-09-04,15:00,2026-09-04 15:00:00,1658.03,1663.27,1646.38,1651.6,518537
INFY,Infosys,Information Technology,2026-09-04,15:30,2026-09-04 15:30:00,1651.6,1658.79,1642.41,1649.6,761185
INFY,Infosys,Information Technology,2026-09-07,09:30,2026-09-07 09:30:00,1658.02,1667.46,1651.14,1660.57,800833
INFY,Infosys,Information Technology,2026-09-07,10:00,2026-09-07 10:00:00,1660.57,1666.41,1654.58,1660.42,461881
INFY,Infosys,Information Technology,2026-09-07,10:30,2026-09-07 10:30:00,1660.42,1669.35,1657.96,1666.88,920471
INFY,Infosys,Information Technology,2026-09-07,11:00,2026-09-07 11:00:00,1666.88,1668.55,1662.28,1663.94,591364
INFY,Infosys,Information Technology,2026-09-07,11:30,2026-09-07 11:30:00,1663.94,1665.98,1661.55,1663.59,375199
INFY,Infosys,Information Technology,2026-09-07,12:00,2026-09-07 12:00:00,1663.59,1668.73,1652.55,1657.68,891169
INFY,Infosys,Information Technology,2026-09-07,12:30,2026-09-07 12:30:00,1657.68,1663.99,1655.87,1662.18,713129
INFY,Infosys,Information Technology,2026-09-07,13:00,2026-09-07 13:00:00,1662.18,1662.28,1661.88,1661.98,338267
INFY,Infosys,Information Technology,2026-09-07,13:30,2026-09-07 13:30:00,1661.98,1669.67,1659.28,1666.96,536341
INFY,Infosys,Information Technology,2026-09-07,14:00,2026-09-07 14:00:00,1666.96,1671.8,1647.58,1652.38,1039028
INFY,Infosys,Information Technology,2026-09-07,14:30,2026-09-07 14:30:00,1652.38,1655.36,1639.34,1642.3,748491
INFY,Infosys,Information Technology,2026-09-07,15:00,2026-09-07 15:00:00,1642.3,1657.93,1632.73,1648.33,774133
INFY,Infosys,Information Technology,2026-09-07,15:30,2026-09-07 15:30:00,1648.33,1658.22,1625.95,1635.76,1037265
INFY,Infosys,Information Technology,2026-09-08,09:30,2026-09-08 09:30:00,1628.03,1655.37,1614.09,1641.32,1085472
INFY,Infosys,Information Technology,2026-09-08,10:00,2026-09-08 10:00:00,1641.32,1643.49,1635.55,1637.72,386644
INFY,Infosys,Information Technology,2026-09-08,10:30,2026-09-08 10:30:00,1637.72,1638.71,1629.59,1630.58,735434
INFY,Infosys,Information Technology,2026-09-08,11:00,2026-09-08 11:00:00,1630.58,1644.56,1628.73,1642.7,1058519
INFY,Infosys,Information Technology,2026-09-08,11:30,2026-09-08 11:30:00,1642.7,1649.16,1642.28,1648.74,498031
INFY,Infosys,Information Technology,2026-09-08,12:00,2026-09-08 12:00:00,1648.74,1654.39,1644.32,1649.97,351366
INFY,Infosys,Information Technology,2026-09-08,12:30,2026-09-08 12:30:00,1649.97,1653.24,1631.56,1634.79,1224810
INFY,Infosys,Information Technology,2026-09-08,13:00,2026-09-08 13:00:00,1634.79,1642.86,1626.87,1634.93,322610
INFY,Infosys,Information Technology,2026-09-08,13:30,2026-09-08 13:30:00,1634.93,1645.86,1632.6,1643.51,692439
INFY,Infosys,Information Technology,2026-09-08,14:00,2026-09-08 14:00:00,1643.51,1660.23,1637.82,1654.5,1007046
INFY,Infosys,Information Technology,2026-09-08,14:30,2026-09-08 14:30:00,1654.5,1655.9,1648.0,1649.39,401122
INFY,Infosys,Information Technology,2026-09-08,15:00,2026-09-08 15:00:00,1649.39,1652.55,1645.33,1648.49,418464
INFY,Infosys,Information Technology,2026-09-08,15:30,2026-09-08 15:30:00,1648.49,1656.58,1643.99,1652.07,598246
INFY,Infosys,Information Technology,2026-09-09,09:30,2026-09-09 09:30:00,1648.25,1681.47,1637.39,1670.47,1401951
INFY,Infosys,Information Technology,2026-09-09,10:00,2026-09-09 10:00:00,1670.47,1671.9,1664.03,1665.46,772223
INFY,Infosys,Information Technology,2026-09-09,10:30,2026-09-09 10:30:00,1665.46,1670.74,1653.34,1658.6,512717
INFY,Infosys,Information Technology,2026-09-09,11:00,2026-09-09 11:00:00,1658.6,1659.39,1648.69,1649.48,653588
INFY,Infosys,Information Technology,2026-09-09,11:30,2026-09-09 11:30:00,1649.48,1672.19,1644.91,1667.57,611594
INFY,Infosys,Information Technology,2026-09-09,12:00,2026-09-09 12:00:00,1667.57,1675.56,1661.71,1669.7,419663
INFY,Infosys,Information Technology,2026-09-09,12:30,2026-09-09 12:30:00,1669.7,1674.54,1665.35,1670.19,325092
INFY,Infosys,Information Technology,2026-09-09,13:00,2026-09-09 13:00:00,1670.19,1670.76,1666.94,1667.5,582916
INFY,Infosys,Information Technology,2026-09-09,13:30,2026-09-09 13:30:00,1667.5,1667.87,1660.67,1661.04,525924
INFY,Infosys,Information Technology,2026-09-09,14:00,2026-09-09 14:00:00,1661.04,1679.9,1659.18,1678.02,674842
INFY,Infosys,Information Technology,2026-09-09,14:30,2026-09-09 14:30:00,1678.02,1678.91,1675.87,1676.76,486373
INFY,Infosys,Information Technology,2026-09-09,15:00,2026-09-09 15:00:00,1676.76,1690.04,1676.68,1689.96,802143
INFY,Infosys,Information Technology,2026-09-09,15:30,2026-09-09 15:30:00,1689.96,1700.75,1682.83,1693.6,496660
INFY,Infosys,Information Technology,2026-09-10,09:30,2026-09-10 09:30:00,1673.56,1688.03,1653.67,1668.1,818898
INFY,Infosys,Information Technology,2026-09-10,10:00,2026-09-10 10:00:00,1668.1,1671.4,1667.15,1670.46,375193
INFY,Infosys,Information Technology,2026-09-10,10:30,2026-09-10 10:30:00,1670.46,1672.01,1666.17,1667.72,727253
INFY,Infosys,Information Technology,2026-09-10,11:00,2026-09-10 11:00:00,1667.72,1672.78,1657.16,1662.2,523758
INFY,Infosys,Information Technology,2026-09-10,11:30,2026-09-10 11:30:00,1662.2,1671.14,1659.55,1668.47,770745
INFY,Infosys,Information Technology,2026-09-10,12:00,2026-09-10 12:00:00,1668.47,1680.52,1667.1,1679.14,530449
INFY,Infosys,Information Technology,2026-09-10,12:30,2026-09-10 12:30:00,1679.14,1680.68,1676.42,1677.96,715781
INFY,Infosys,Information Technology,2026-09-10,13:00,2026-09-10 13:00:00,1677.96,1693.49,1671.27,1686.76,913613
INFY,Infosys,Information Technology,2026-09-10,13:30,2026-09-10 13:30:00,1686.76,1697.24,1679.6,1690.06,784165
INFY,Infosys,Information Technology,2026-09-10,14:00,2026-09-10 14:00:00,1690.06,1690.87,1688.76,1689.57,485859
