symbol,name,sector,date,time,timestamp,open,high,low,close,volume
RELIANCE,Reliance Industries,Energy,2026-09-04,09:30,2026-09-04 09:30:00,2875.0,2895.8,2858.08,2878.86,703814
RELIANCE,Reliance Industries,Energy,2026-09-04,10:00,2026-09-04 10:00:00,2878.86,2890.31,2875.2,2886.64,808587
RELIANCE,Reliance Industries,Energy,2026-09-04,10:30,2026-09-04 10:30:00,2886.64,2893.18,2878.34,2884.88,919891
RELIANCE,Reliance Industries,Energy,2026-09-04,11:00,2026-09-04 11:00:00,2884.88,2902.31,2867.1,2884.53,528566
RELIANCE,Reliance Industries,Energy,2026-09-04,11:30,2026-09-04 11:30:00,2884.53,2896.15,2878.56,2890.17,803033
RELIANCE,Reliance Industries,Energy,2026-09-04,12:00,2026-09-04 12:00:00,2890.17,2892.45,2880.84,2883.12,979132
RELIANCE,Reliance Industries,Energy,2026-09-04,12:30,2026-09-04 12:30:00,2883.12,2891.43,2877.75,2886.06,740992
RELIANCE,Reliance Industries,Energy,2026-09-04,13:00,2026-09-04 13:00:00,2886.06,2919.58,2870.5,2903.92,1205659
RELIANCE,Reliance Industries,Energy,2026-09-04,13:30,2026-09-04 13:30:00,2903.92,2916.11,2901.53,2913.7,797946
RELIANCE,Reliance Industries,Energy,2026-09-04,14:00,2026-09-04 14:00:00,2913.7,2918.55,2911.61,2916.46,548659
RELIANCE,Reliance Industries,Energy,2026-09-04,14:30,2026-09-04 14:30:00,2916.46,2931.38,2910.78,2925.68,723225
RELIANCE,Reliance Industries,Energy,2026-09-04,15:00,2026-09-04 15:00:00,2925.68,2938.36,2914.76,2927.43,879445
RELIANCE,Reliance Industries,Energy,2026-09-04,15:30,2026-09-04 15:30:00,2927.43,2938.58,2920.15,2931.29,625081
RELIANCE,Reliance Industries,Energy,2026-09-07,09:30,2026-09-07 09:30:00,2898.32,2903.92,2857.82,2863.35,2321161
RELIANCE,Reliance Industries,Energy,2026-09-07,10:00,2026-09-07 10:00:00,2863.35,2869.2,2858.43,2864.29,669413
RELIANCE,Reliance Industries,Energy,2026-09-07,10:30,2026-09-07 10:30:00,2864.29,2881.54,2861.75,2879.0,1043131
RELIANCE,Reliance Industries,Energy,2026-09-07,11:00,2026-09-07 11:00:00,2879.0,2899.69,2869.88,2890.54,1051158
RELIANCE,Reliance Industries,Energy,2026-09-07,11:30,2026-09-07 11:30:00,2890.54,2899.82,2865.36,2874.59,825510
RELIANCE,Reliance Industries,Energy,2026-09-07,12:00,2026-09-07 12:00:00,2874.59,2876.1,2870.56,2872.06,620689
RELIANCE,Reliance Industries,Energy,2026-09-07,12:30,2026-09-07 12:30:00,2872.06,2872.95,2869.24,2870.12,446514
RELIANCE,Reliance Industries,Energy,2026-09-07,13:00,2026-09-07 13:00:00,2870.12,2879.14,2862.9,2871.91,512102
RELIANCE,Reliance Industries,Energy,2026-09-07,13:30,2026-09-07 13:30:00,2871.91,2881.86,2854.45,2864.37,765125
RELIANCE,Reliance Industries,Energy,2026-09-07,14:00,2026-09-07 14:00:00,2864.37,2865.95,2864.18,2865.76,459576
RELIANCE,Reliance Industries,Energy,2026-09-07,14:30,2026-09-07 14:30:00,2865.76,2875.92,2855.82,2865.99,774568
RELIANCE,Reliance Industries,Energy,2026-09-07,15:00,2026-09-07 15:00:00,2865.99,2874.15,2844.03,2852.15,936498
